Photon in MeV,Mass attenuation coefficient
0.001,922.5
0.00114237,647.4
0.001305,453
0.001305,5444
0.0015,4004
0.002,1932
0.003,658.5
0.004,297.4
0.005,158.3
0.006,93.81
0.008,40.61
0.01,21.05
0.015,6.358
0.02,2.763
0.03,0.9306
0.04,0.4881
0.05,0.3292
0.06,0.257
0.08,0.1951
0.1,0.1686
0.15,0.1394
0.2,0.1245
0.3,0.1065
0.4,0.09492
0.5,0.08647
0.6,0.07988
0.8,0.07008
1,0.06296
1.25,0.05629
1.5,0.05129
2,0.04426
3,0.03613
4,0.03159
5,0.02873
6,0.02681
8,0.02445
10,0.02313
15,0.02168
20,0.02127
