Photon in MeV,Mass attenuation coefficient
0.001,654.2
0.00103542,596
0.0010721,542.9
0.0010721,6435
0.0015,3194
0.002,1521
0.003,507
0.004,226.1
0.005,119.4
0.006,70.3
0.008,30.18
0.01,15.57
0.015,4.694
0.02,2.057
0.03,0.7197
0.04,0.3969
0.05,0.2804
0.06,0.2268
0.08,0.1796
0.1,0.1585
0.15,0.1335
0.2,0.1199
0.3,0.1029
0.4,0.09185
0.5,0.08372
0.6,0.07736
0.8,0.06788
1,0.061
1.25,0.05454
1.5,0.04968
2,0.04282
3,0.03487
4,0.03037
5,0.02753
6,0.02559
8,0.02319
10,0.02181
15,0.02023
20,0.0197
