Photon in MeV,Mass attenuation coefficient
0.001,2832
0.0015,977.1
0.002,452
0.0028224,177.4
0.0028224,1637
0.003,1473
0.004,703.7
0.005,390.1
0.006,238.4
0.008,107.5
0.01,57.25
0.015,17.84
0.02,7.739
0.03,2.425
0.04,1.117
0.05,0.6483
0.06,0.4395
0.08,0.2696
0.1,0.205
0.15,0.148
0.2,0.1266
0.3,0.1054
0.4,0.09311
0.5,0.08453
0.6,0.07795
0.8,0.06826
1,0.06128
1.25,0.05478
1.5,0.04994
2,0.04328
3,0.03585
4,0.03188
5,0.0295
6,0.02798
8,0.02628
10,0.02549
15,0.02496
20,0.0252
