Photon in MeV,Mass attenuation coefficient
0.001,4590
0.0015,1549
0.002,694.9
0.003,217.1
0.004,93.15
0.005,47.9
0.006,27.7
0.008,11.63
0.01,5.952
0.015,1.836
0.02,0.8651
0.03,0.3779
0.04,0.2585
0.05,0.2132
0.06,0.1907
0.08,0.1678
0.1,0.1551
0.15,0.1361
0.2,0.1237
0.3,0.107
0.4,0.09566
0.5,0.08729
0.6,0.0807
0.8,0.07087
1,0.06372
1.25,0.05697
1.5,0.05185
2,0.04459
3,0.03597
4,0.031
5,0.02777
6,0.02552
8,0.02263
10,0.02089
15,0.01866
20,0.0177
