Photon in MeV,Mass attenuation coefficient
0.001,4058
0.0015,1418
0.002,659.2
0.003,219.8
0.0036074,132.7
0.0036074,1201
0.004,925.6
0.005,518.9
0.006,320.5
0.008,146.9
0.01,79.07
0.015,25.03
0.02,10.93
0.03,3.413
0.04,1.541
0.05,0.8679
0.06,0.5678
0.08,0.3251
0.1,0.2345
0.15,0.1582
0.2,0.1319
0.3,0.108
0.4,0.09495
0.5,0.086
0.6,0.07922
0.8,0.06929
1,0.06216
1.25,0.05556
1.5,0.05068
2,0.04399
3,0.03666
4,0.03282
5,0.03054
6,0.02915
8,0.02766
10,0.02704
15,0.02687
20,0.02737
