# t,sigma,alpha
0.000000000000000000e+00 1.080460497980664485e+02 2.784082700777623209e+00 -3.208583217181554259e-01 8.444949767061969981e-01
2.000000000000000000e+00 9.493864317029586175e+01 3.454924129489799434e+00 1.359123461728106025e-02 1.190668166916954540e+00
6.000000000000000000e+00 1.063248601561105176e+02 1.162519744059510307e+00 4.942004397574314423e-01 8.545488895404940166e-01
9.000000000000000000e+00 8.579867810732021383e+01 2.182387829038076266e+00 9.303830924594236329e-01 1.054931078120229015e+00
1.100000000000000000e+01 8.836010797701970887e+01 2.358586101883839881e+00 -1.279312349707282248e-01 1.131694371415380429e+00
1.200000000000000000e+01 1.065146953936213663e+02 1.210911229473248252e+00 -1.225310150117060459e-01 7.232700101101431356e-01
1.300000000000000000e+01 1.142378781417158820e+02 2.126513400210233939e+00 -2.371690813200006409e-01 1.032904147510727455e+00
1.800000000000000000e+01 1.226504167897695226e+02 2.095828941456971517e+00 -1.196353177064850282e-02 1.102991654764546414e+00
4.100000000000000000e+01 1.178196582828018819e+02 1.765985603615205957e+00 3.737137964488949082e-01 9.332050714008618408e-01
4.300000000000000000e+01 1.176979081626578250e+02 2.041308946647029554e+00 3.329804359887002518e-01 1.058005069232287765e+00
6.700000000000000000e+01 1.198418645950801960e+02 2.020430639579502863e+00 5.620134579963841359e-01 1.060014371953945433e+00
1.180000000000000000e+02 1.194938798144083876e+02 2.275527840551254677e+00 7.263745103052401952e-02 1.187708915803296517e+00
1.990000000000000000e+02 1.195817623909064338e+02 2.161342274330876112e+00 1.197497984686295425e-01 1.131810988574110555e+00
