Photon in MeV,Mass attenuation coefficient
0.001,3311
0.0015,1083
0.002,476.9
0.003,145.6
0.004,61.66
0.005,31.44
0.006,18.09
0.008,7.562
0.01,3.879
0.015,1.236
0.02,0.6178
0.03,0.3066
0.04,0.2288
0.05,0.198
0.06,0.1817
0.08,0.1639
0.1,0.1529
0.15,0.1353
0.2,0.1233
0.3,0.1068
0.4,0.09557
0.5,0.08719
0.6,0.08063
0.8,0.07081
1,0.06364
1.25,0.05693
1.5,0.0518
2,0.0445
3,0.03579
4,0.03073
5,0.02742
6,0.02511
8,0.02209
10,0.02024
15,0.01782
20,0.01673
