,Optimiser,Optimiser_code,sample_rotation_angle1,sample_rotation_angle2,src_pos_x,src_pos_y,src_pos_z,det_pos_x,det_pos_y,det_pos_z,DZNCC,MAE,RMSE,DSSIM,MAPE,ZNCC,SSIM
0,CMA-ES,1,-4.999973937186291,2.9426523853971016,7.521376110557796,-50.49942840083728,130.0003023071165,1.5928407021448419,-10.507583307414643,-11.218150699038029,0.2583180979074267,0.8282998145521809,1.0165000696653725,0.4299449064505597,0.16431437668877746,0.4833638041851466,0.14011018709888057
1,CMA-ES,1,-4.999836410873495,4.99944065886694,16.973381871328357,-50.06707118763541,130.0000670121017,-0.6301546472643436,-10.500382550235377,-15.360447933872585,0.2599536504330737,0.8074107095891795,1.0197129996878007,0.42156022520039926,0.13622997422699457,0.48009269913385255,0.15687954959920147
2,CMA-ES,1,-4.999988711330304,4.99992195242964,-19.999829533484178,-50.497747771248875,130.0003440304413,1.091760242236828,-30.833317332528246,-7.9764789162817875,0.18961208258733714,0.7030998744117367,0.8708893904218546,0.35114039853478973,0.23600484326515603,0.6207758348253257,0.29771920293042053
3,CMA-ES,1,4.9997345986656425,4.999826353584869,-19.99656071985971,-50.499920633786786,130.00095356632252,13.155219899922308,-50.49997823002374,-12.45159016591223,0.27667228700535595,0.7980058879081167,1.0519929410511377,0.3717792023859866,1.562388303790959,0.4466554259892881,0.2564415952280268
4,CMA-ES,1,-4.999659250960083,-4.9959855408940905,-10.13215666381526,-50.43349204440458,130.0410141362298,7.99690556626323,-12.703855796085547,-40.49969882375329,0.346886730545632,0.9586598079346829,1.1779418161278288,0.4778488473783726,0.1115788588403263,0.30622653890873597,0.04430230524325485
0,NSGA-II,2,-12.214139533660932,12.965309214564629,-15.73350790339203,-29.994004641443258,155.34998397133884,1.888943779373235,-31.440861003935833,-15.541124062917202,0.18693859252267708,0.699252323010406,0.8647279167985203,0.3515065793939011,0.2810397912180811,0.6261228149546458,0.29698684121219776
1,NSGA-II,2,-6.6792124782906175,12.749665799192293,-10.455285781533991,-40.38609828595272,141.66604030801489,0.06831150507285555,-30.933368421889863,-6.245936725518851,0.193167998359068,0.7109652285518281,0.8790176297642006,0.35926666160627835,0.14726348522708713,0.613664003281864,0.2814666767874433
2,NSGA-II,2,-5.61105999595534,12.076053918142447,-6.852204909022022,-44.679957975856645,142.11032260664942,-0.21079382525333637,-30.80320853508397,-5.446875727322342,0.19534954631342633,0.7140851910839462,0.8839672987467949,0.35697325238842614,0.1458737256829753,0.6093009073731473,0.2860534952231477
3,NSGA-II,2,-8.642621905610255,12.053704856344215,-7.00547280892766,-40.15950253645333,163.9781724365523,-0.08417240478114225,-30.944482375902894,-6.228266633656107,0.19516720607920185,0.7142138370972848,0.883554652705088,0.35568313483577774,0.14649418446653387,0.6096655878415963,0.2886337303284445
4,NSGA-II,2,-5.789462529696114,10.842973325562955,-6.249076806656529,-35.80214748363477,142.11927782244769,0.14030724692850916,-30.287828557233947,-8.241392928284892,0.20583043872299867,0.7359369622544945,0.9073707923952553,0.3620987108890306,0.11517033685854759,0.5883391225540027,0.27580257822193877
5,NSGA-II,2,-8.691671871214163,12.093340706366778,-7.00547280892766,-40.15950253645333,163.9781724365523,-0.08417240478114225,-30.93954725183012,-6.228266633656107,0.19504085606639965,0.7140551869211109,0.8832686025584734,0.35562889999877323,0.14662369239307524,0.6099182878672007,0.28874220000245354
6,NSGA-II,2,-14.19420653310307,13.923453884368545,-8.859038205291327,-28.55598283673976,142.3225578305951,0.10605490967724063,-30.977263168384606,-6.7480553386217785,0.1887337384795913,0.70426585125281,0.8688699292289749,0.3550432049733382,0.170527232813928,0.6225325230408174,0.2899135900533236
7,NSGA-II,2,-1.5387648561962752,8.309353596724442,-11.732077113170458,-50.24452998955127,141.80505002821232,-0.2786560708257878,-29.9931446055203,-5.968428935370662,0.2082336383257986,0.7309205059325308,0.9126524822204753,0.3627639874070624,0.11910913643678804,0.5835327233484028,0.2744720251858752
8,NSGA-II,2,-6.5220653031072615,14.37126388430911,-19.217170508390126,-40.37630575733725,142.0847871246572,4.496225062204988,-30.854574304592976,-30.79276825400404,0.18993217287807873,0.6964454508865623,0.8716241687288825,0.349864725219278,0.2311200845307345,0.6201356542438425,0.30027054956144394
9,NSGA-II,2,-6.687136075020236,12.389989348711893,-10.066000076981542,-40.44557807349044,141.66604030801489,0.06831150507285555,-30.927823189093218,-6.245936725518851,0.19322246930140774,0.7108226434580082,0.8791415569779598,0.3582250809495855,0.14674067897459106,0.6135550613971845,0.283549838100829
10,NSGA-II,2,-7.295322178582167,13.706067286939376,-18.876351399578315,-39.991049058641096,141.64921294466777,4.48387357969805,-30.83914828960124,-30.823500689240184,0.19241390365177552,0.6997798059731392,0.8773001850034576,0.34924352240391765,0.23550575314278355,0.615172192696449,0.3015129551921647
11,NSGA-II,2,14.778637413924137,-4.994544565605594,10.746169980882724,-12.10794149771581,131.1890023676621,-0.9553545427446463,-30.216732413661795,-15.396187746455563,0.24298308894026716,0.7445137527726623,0.985866297101726,0.34407596283244096,0.1379698138370884,0.5140338221194657,0.3118480743351181
12,NSGA-II,2,-5.603077187247645,14.061830777872068,2.9624073023698525,-36.95402830041496,143.29696191644487,-0.43846254639678217,-30.366716886806927,-8.522656144723708,0.20580307646738044,0.7365842705876503,0.9073104793120833,0.36146604222271356,0.11643246723866178,0.5883938470652391,0.2770679155545729
13,NSGA-II,2,-8.029892998542936,14.493614322547483,-8.413737232746515,-31.343089730218274,145.73147555219825,-0.06999096318877523,-31.408285463450092,-5.746142928167564,0.19613388988590819,0.7144548958600849,0.8857401196421173,0.36350363089459237,0.12821864501174318,0.6077322202281836,0.27299273821081527
14,NSGA-II,2,-4.406579081566557,14.671956607664775,-10.36735409191413,-40.17552172324677,145.88998358631304,0.204356177300043,-30.789730696157175,-9.732191840828426,0.19606600545370367,0.7166963245933778,0.8855868234198235,0.3660597293868552,0.12853249715548118,0.6078679890925927,0.26788054122628957
15,NSGA-II,2,-8.691671871214163,12.093340706366778,-11.196919580277736,-40.15950253645333,167.466089139166,-0.08417240478114225,-30.941786920371218,-6.228266633656107,0.19384875648206656,0.7085242012942492,0.8805651741513886,0.3560997629071345,0.14681261997549813,0.6123024870358669,0.28780047418573096
16,NSGA-II,2,-8.195505612928034,10.364090482066704,-13.63018811563779,-41.69226784051693,145.58416703417672,-0.08417240478114225,-31.651184577980903,-5.695450358169321,0.18950965430619465,0.6985234239149128,0.8706541318025076,0.352037453196107,0.21514165862509227,0.6209806913876107,0.29592509360778596
17,NSGA-II,2,-5.473445528431708,10.530440257507577,-16.794171217344363,-35.83164159535935,164.33414786311604,0.1567007844295319,-31.412368995218536,-6.394305092995785,0.19821147968844893,0.7114103156953505,0.8904189568701891,0.361035011404352,0.12509770754610153,0.6035770406231021,0.277929977191296
