,sample_rotation_angle1,sample_rotation_angle2,src_pos_x,src_pos_y,src_pos_z,det_pos_x,det_pos_y,det_pos_z,DZNCC,MAE,RMSE,DSSIM,MAPE,ZNCC,SSIM,Optimiser,Optimiser_code
0,-13.767274278903814,10.017851166907473,-9.680849165388146,-32.50177645245206,167.0660009898244,1.4323545386075889,-33.871095218566325,-7.399829251411328,0.20671707649598914,0.7211992873140597,0.9093229414525874,0.35054429580091295,0.1755457906352443,0.5865658470080217,0.2989114083981741,NSGA3,3
1,-7.730357298990103,13.902997488276263,-11.630202989444259,-31.04828669433884,165.77984330137298,-0.2855036651682976,-31.661313836484858,-6.160507172933658,0.19603525573602687,0.7103511637204248,0.8855173545317572,0.3636701124658428,0.1277839368129323,0.6079294885279463,0.2726597750683144,NSGA3,3
2,-14.886821736654127,9.847111804052497,-19.222863589838745,-23.749796908518228,133.69563762389816,1.595341609856683,-31.759891385895433,-8.408878551231478,0.1838638014108661,0.6909638079923718,0.8575868048599764,0.34915561527007355,0.26825345883728796,0.6322723971782678,0.3016887694598529,NSGA3,3
3,13.7913717171797,5.568700024314613,16.92791408533011,-10.650334193236457,141.0273375381736,-0.6148310202815135,-30.21338074129174,-18.934931757407547,0.22102861221398706,0.7188657543872639,0.9402736265611094,0.3260004760285948,0.16499341703420742,0.5579427755720259,0.34799904794281045,NSGA3,3
4,14.847119388556916,-14.932842525337875,-11.562707253278756,-10.529267786927084,141.8909203293939,1.5749214537551348,-30.54148333314435,-26.259703934573572,0.22030275533065402,0.7112391472282199,0.9387284559646555,0.319400375059729,0.18859157293198178,0.559394489338692,0.361199249880542,NSGA3,3
5,-14.964181887995629,13.653620116687105,-19.809021535963026,-14.439679090375064,141.6740906588628,1.3050427312871795,-32.90012911495113,-8.186301588188797,0.18575786104324776,0.6935892965653364,0.8619927335261727,0.3597292598036548,0.1735064898885528,0.6284842779135045,0.28054148039269045,NSGA3,3
6,14.873917017485255,-14.456430576628257,-6.807688053510188,-12.475712754783101,133.60351887836214,1.5474317784962728,-29.71054245047413,-27.261630872399543,0.22276592098051928,0.7182395457405218,0.9439617276248234,0.3165490218991922,0.20613249824712954,0.5544681580389614,0.3669019562016156,NSGA3,3
7,-9.65277352556216,11.252955892126726,-6.684295194859705,-34.18621735122106,133.859078471749,-0.31249814567710893,-31.839862341956206,-3.421649607128013,0.18920225174983202,0.6992887502139681,0.8699476506152212,0.35165000564862614,0.17746728326192898,0.621595496500336,0.2966999887027477,NSGA3,3
8,-11.424565739377137,10.352680259390358,-15.442996069817225,-30.972590154870833,167.8712973181033,0.12435087625237082,-31.469508400545084,-4.776228785886385,0.19234158384104916,0.7035182257572226,0.8771353150174163,0.35449286580484585,0.15020381549483514,0.6153168323179017,0.2910142683903083,NSGA3,3
9,-11.372741131681444,10.405394484744985,-19.05795636820642,-33.2508073564294,131.96223246598402,1.0604633433093347,-31.32335944633984,-7.473166507706923,0.18463250877433968,0.6939727608435339,0.8593777116423068,0.35233915286339523,0.20573616746634438,0.6307349824513206,0.29532169427320953,NSGA3,3
10,-9.071985166552478,9.812243790841386,-12.564103282949361,-31.843024990739263,133.6595359745087,0.43010857272140623,-31.47886753181292,-4.99051122056116,0.1927970381716433,0.7103183665165159,0.8781732480685208,0.3554553298684935,0.14676655748289488,0.6144059236567134,0.28908934026301303,NSGA3,3
11,-11.448917029184564,9.617288348435771,-15.422519520666897,-31.257371566794156,134.97518888650015,1.4171103578862154,-34.588735143733054,-4.803632955732372,0.20027607205872244,0.7054121847719104,0.8950442669895701,0.34908653594722316,0.19256439355514235,0.5994478558825551,0.30182692810555367,NSGA3,3
12,-11.45248445252248,8.797409369141372,-15.481450227191232,-31.17562160437358,135.431311139592,0.2114905235845613,-31.672448250508392,-4.871572169036091,0.18735066886373403,0.6946938516104711,0.8656804551060274,0.3506939889786743,0.22226171957701749,0.625298662272532,0.29861202204265136,NSGA3,3
13,-8.089548759225536,10.405394484744985,-19.05795636820642,-33.2508073564294,131.96223246598402,1.0604633433093347,-31.32335944633984,-7.648098437624078,0.18972146026883102,0.7041611697167326,0.8711405599040186,0.35921385635518643,0.1513212699437446,0.620557079462338,0.28157228728962713,NSGA3,3
14,-13.197805645500166,9.617642028254894,-15.422519520666897,-31.133196584210612,143.70031649706283,1.4254169696743384,-34.413560997626675,-8.226943229159263,0.20171347846765358,0.7077723563236379,0.8982504576408661,0.34660003415627144,0.28734930960488153,0.5965730430646928,0.3067999316874571,NSGA3,3
15,-13.508426684713347,9.842279138601247,-19.14278717140069,-33.2508073564294,131.86553260156387,1.5860514530679928,-31.410234834073407,-7.473606511614552,0.18606135945273394,0.7002602414509371,0.8626966148554234,0.35280028012528664,0.18186311428811042,0.6278772810945321,0.29439943974942673,NSGA3,3
16,-13.167320938316045,13.300305247330243,-3.8189956038786947,-16.01018574069257,164.29324951522145,-0.31206771988545945,-31.450829655048803,-6.16443663671266,0.20098666382208846,0.7218367097905312,0.8966306687253803,0.36049349231495453,0.11604876439643708,0.5980266723558231,0.27901301537009093,NSGA3,3
17,14.955250668236824,-14.991796874204079,-7.436388282856814,-12.492031315470403,142.5051636849586,2.5915817018800675,-30.940397729350003,-27.456934247832194,0.21193299346481892,0.7294172154374803,0.9207236365943271,0.33735573562096227,0.19599648076533052,0.5761340130703622,0.32528852875807546,NSGA3,3
