Photon in MeV,Mass attenuation coefficient
0.001,2429
0.0015,834.2
0.002,385.3
0.002472,216.8
0.002472,2070
0.003,1339
0.004,633.8
0.005,348.7
0.006,211.6
0.008,94.65
0.01,50.12
0.015,15.5
0.02,6.708
0.03,2.113
0.04,0.9872
0.05,0.5849
0.06,0.4053
0.08,0.2585
0.1,0.202
0.15,0.1506
0.2,0.1302
0.3,0.1091
0.4,0.09665
0.5,0.08781
0.6,0.08102
0.8,0.07098
1,0.06373
1.25,0.05697
1.5,0.05193
2,0.04498
3,0.03715
4,0.03293
5,0.03036
6,0.02872
8,0.02682
10,0.02589
15,0.02517
20,0.02529
